term	genes	type	name	parents
R-HSA-110320	P40938;P15927;Q9H040;P62987;P35249;P62979;P35244;Q9Y253;P35251;P0CG48;Q92890;P55072;P12004;P40937;P0CG47;P27694;P35250;Q8TAT6;Q96PM5	DNA Repair	Translesion Synthesis by POLH	R-HSA-110313
R-HSA-110328	P0C5Y9;P16104;P54274;Q15554;Q9NYB0;Q93077;P62807;Q96FI4;Q969S2;O15527;Q9NUX5;O95243;P06899;Q9BSI4;Q53HV7;O60814;Q6FI13;Q99878;P57053;Q96AP0;Q71UI9;Q9BTM1;P33778;P20671;P58876;Q16778;Q16695;P0C0S5;Q16777;P78549;Q8TAT5;Q8N257;Q99880;Q99879;Q93079;P23527;P04908;P62805;Q99877;Q96A08;Q13569	DNA Repair	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	R-HSA-73928
R-HSA-110329	P0C5Y9;P16104;P54274;Q15554;Q9NYB0;Q93077;P62807;Q96FI4;Q969S2;O15527;Q9NUX5;O95243;P06899;Q9BSI4;Q53HV7;O60814;Q6FI13;Q99878;P57053;Q96AP0;Q71UI9;Q9BTM1;P33778;P20671;P58876;Q16778;Q16695;P0C0S5;Q16777;P78549;Q8TAT5;Q8N257;Q99880;Q99879;Q93079;P23527;P04908;P62805;Q99877;Q96A08;Q13569	DNA Repair	Cleavage of the damaged pyrimidine 	R-HSA-73928
R-HSA-110330	P0C5Y9;P16104;P54274;Q15554;Q9NYB0;Q93077;P62807;Q9NUX5;P06899;Q9BSI4;O60814;Q6FI13;Q99878;P57053;P29372;Q96AP0;Q71UI9;Q9BTM1;P33778;P20671;P58876;Q16778;Q16695;P0C0S5;Q16777;Q9UIF7;Q8TAT5;Q8N257;Q99880;Q99879;Q93079;P23527;P04908;P62805;Q99877;Q96A08	DNA Repair	Recognition and association of DNA glycosylase with site containing an affected purine	R-HSA-73927
R-HSA-110331	P0C5Y9;P16104;P54274;Q15554;Q9NYB0;Q93077;P62807;O15527;Q9NUX5;P06899;Q9BSI4;O60814;Q6FI13;Q99878;P57053;P29372;Q96AP0;Q71UI9;Q9BTM1;P33778;P20671;P58876;Q16778;Q16695;P0C0S5;Q16777;Q9UIF7;Q8TAT5;Q8N257;Q99880;Q99879;Q93079;P23527;P04908;P62805;Q99877;Q96A08	DNA Repair	Cleavage of the damaged purine	R-HSA-73927
R-HSA-110357	O15527;O95243;Q53HV7;P29372;P27695;Q9UIF7;P78549;Q13569	DNA Repair	Displacement of DNA glycosylase by APEX1	R-HSA-73933
R-HSA-110362	Q9UGN5;Q86W56;P09874;P18858;Q9NX46;P27695;P06746;P39748	DNA Repair	POLB-Dependent Long Patch Base Excision Repair	R-HSA-110373
R-HSA-110373	P27695;P06746;Q9UGN5;Q86W56;P09874;P18858;Q9NX46;P39748;P40938;P15927;P35249;P35244;P35251;P12004;P40937;P27694;P35250;Q9NR33;Q9HCU8;Q9NRF9;Q15054;P28340;Q07864;P56282;P49005	DNA Repair	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	R-HSA-73933
R-HSA-110381	P49916;P06746;P18887;P27695	DNA Repair	Resolution of AP sites via the single-nucleotide replacement pathway	R-HSA-73933
R-HSA-111367	P62308;P62304;P14678;P52298;P62306;P62318;P83369;Q969L4;Q09161;Q8WTR7	Metabolism of RNA	SLBP independent Processing of Histone Pre-mRNAs	R-HSA-75067
R-HSA-111446	P45983;O43521;P63167	Programmed Cell Death	Activation of BIM and translocation to mitochondria 	R-HSA-114452
R-HSA-111447	P31947;P63098;P31946;P10415;P55957;Q9Y243;P31751;P63104;P31749;Q92934;P62258;Q04917;P61981;P27348;P48454	Programmed Cell Death	Activation of BAD and translocation to mitochondria 	R-HSA-114452
R-HSA-111448	Q14188;P04637;Q14186;Q01094;Q13794	Programmed Cell Death	Activation of NOXA and translocation to mitochondria	R-HSA-114452
R-HSA-111452	P55957;Q16611	Programmed Cell Death	Activation and oligomerization of BAK protein	R-HSA-109606
R-HSA-111453	P40763;P10415;P55957;Q9BXH1;Q92934;Q96LC9;Q13794;O43521;Q07817	Programmed Cell Death	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	R-HSA-109606
R-HSA-111457	P99999;Q9NR28;Q16611;Q07812	Programmed Cell Death	Release of apoptotic factors from the mitochondria	R-HSA-111471
R-HSA-111458	P99999;Q9NQS1;P55211;Q9Y2G2;O14727;Q96GX9;P98170;Q9NR28;P27361;P28482;Q9BZF9	Programmed Cell Death	Formation of apoptosome	R-HSA-111461
R-HSA-111459	P98170;P99999;P55210;P42574;P55211;O14727	Programmed Cell Death	Activation of caspases through apoptosome-mediated cleavage	R-HSA-111461
R-HSA-111461	P98170;P99999;P55210;P42574;P55211;O14727;Q9NQS1;Q9Y2G2;Q96GX9;Q9NR28;P27361;P28482;Q9BZF9	Programmed Cell Death	Cytochrome c-mediated apoptotic response	R-HSA-111471
R-HSA-111463	P98170;P99999;P55210;P42574;P55211;Q9NR28;O14727	Programmed Cell Death	SMAC (DIABLO) binds to IAPs 	R-HSA-111469
R-HSA-111464	P98170;P99999;P55210;P42574;P55211;Q9NR28;O14727	Programmed Cell Death	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	R-HSA-111469
R-HSA-111465	Q9Y6E0;Q05655;Q13464;Q04759;Q01826;Q9P289;P55210;P42574;Q9HAW4;P55212;Q13490;P51572;P25054;Q9UKV3;P51813;P49354;Q14790;Q05397;P10636;Q13813;Q15149;P35611;Q9UJU6;O43903;P06396;P08670;Q13835;Q07157;Q02413;P12830;P35222;P15924;P32926;Q16625;Q9UDY2;Q14126;P20700	Programmed Cell Death	Apoptotic cleavage of cellular proteins	R-HSA-75153
R-HSA-111469	P98170;P55210;P42574;Q9NR28;P99999;P55211;O14727	Programmed Cell Death	SMAC, XIAP-regulated apoptotic response	R-HSA-111471
R-HSA-111471	Q8N726;Q07021;P99999;Q9NR28;Q16611;Q07812;P98170;P55210;P42574;P55211;O14727;Q9NQS1;Q9Y2G2;Q96GX9;P27361;P28482;Q9BZF9	Programmed Cell Death	Apoptotic factor-mediated response	R-HSA-109606
R-HSA-111885	P01213;P01189;P35372;P62714;Q9UD71;Q07343;P67775;P22612;P27815;Q08493;P62136;P31321;P17612;Q14738;P63098;P30153;Q00535;P30154;P10644;P0DP23;P13861;Q08209;P16298;P48454;P31323;Q08499;P22694;P08754;P62879;P50150;P11488;P19086;P61952;O14775;P63215;Q9HAV0;P63211;P62873;P19087;O60262;P59768;P16520;P63218;Q9UBI6;Q9P2W3;P50151;O14610;P04899;A8MTJ3;Q9UK08;P63096;P09471;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P51828;Q08462;P38405;O43865;Q00722;Q9NQ66;Q15147;Q01970;Q14573;Q14571;Q14643;P47712;P28482;Q05655;P25098;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;Q8NFP9	Signal Transduction	Opioid Signalling	R-HSA-418594
R-HSA-111931	P51817;P22612;P17612;P16220;P22694;P31321;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P10644;P51828;Q08462;P0DP23;P13861;P31323;Q8NFP9	Signal Transduction	PKA-mediated phosphorylation of CREB	R-HSA-111933
R-HSA-111932	Q96RR4;Q13557;Q8N5S9;P16220;Q13555;P0DP23;Q9UQM7;P52292;Q16566;Q13554	Signal Transduction	CaMK IV-mediated phosphorylation of CREB	R-HSA-111933
R-HSA-111933	Q05655;P25098;P0DP23;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;P22612;P17612;P22694;P31321;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P10644;P51828;Q08462;P13861;P31323;Q8NFP9	Signal Transduction	Calmodulin induced events	R-HSA-111997
R-HSA-111957	P54750;Q14123;Q01064;P0DP23	Signal Transduction	Cam-PDE 1 activation	R-HSA-111933
R-HSA-111995	P47712;P28482	Signal Transduction	phospho-PLA2 pathway	R-HSA-111996
R-HSA-111996	P47712;P28482;P0DP23;Q05655;P25098;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;P22612;P17612;P22694;P31321;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P10644;P51828;Q08462;P13861;P31323;Q8NFP9	Signal Transduction	Ca-dependent events	R-HSA-112043
R-HSA-111997	P0DP23;Q05655;P25098;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;P22612;P17612;P22694;P31321;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P10644;P51828;Q08462;P13861;P31323;Q8NFP9	Signal Transduction	CaM pathway	R-HSA-111996;R-HSA-1489509
R-HSA-112040	O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P51828;Q08462;P38405;P08754;P04899;A8MTJ3;P63096;O43865;Q00722;Q9NQ66;Q15147;Q01970;P11488;P19086;P19087;Q14573;Q14571;Q14643;P09471;P47712;P28482;P0DP23;Q05655;P25098;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;P22612;P17612;P22694;P31321;P10644;P13861;P31323;Q8NFP9	Signal Transduction	G-protein mediated events	R-HSA-111885
R-HSA-112043	O43865;Q00722;Q9NQ66;Q15147;Q01970;P08754;P11488;P19086;P19087;Q14573;Q14571;P04899;A8MTJ3;Q14643;P63096;P09471;P47712;P28482;P0DP23;Q05655;P25098;P17252;P05129;Q96RR4;Q13557;Q8N5S9;P16220;Q13555;Q9UQM7;P52292;Q16566;Q13554;P54750;Q14123;Q01064;P51817;P22612;P17612;P22694;P31321;O43306;O60266;O60503;Q8NFM4;O95622;P40145;Q08828;P10644;P51828;Q08462;P13861;P31323;Q8NFP9	Signal Transduction	PLC beta mediated events	R-HSA-112040
R-HSA-112122	Q6NS38	DNA Repair	ALKBH2 mediated reversal of alkylation damage	R-HSA-73943
R-HSA-112126	Q96Q83;Q9H1I8;Q8N3C0;Q8N9N2	DNA Repair	ALKBH3 mediated reversal of alkylation damage	R-HSA-73943
R-HSA-112303	Q96RD7;Q969M2;P36383;Q9UKL4;Q96RD6	Neuronal System	Electric Transmission Across Gap Junctions	R-HSA-112307
R-HSA-112307	Q96RD7;Q969M2;P36383;Q9UKL4;Q96RD6	Neuronal System	Transmission across Electrical Synapses 	R-HSA-112316
R-HSA-112308	Q9UIU0;Q08289;Q9UBN1;O00555;Q8IZS8;Q00975;Q02641;Q9Y698;P54284;Q15878;Q9NY47;O00305	Neuronal System	Presynaptic depolarization and calcium channel opening	R-HSA-112315
R-HSA-112310	Q02083;Q86UR5;Q16623;P60880;O14795;P63027;O75145;Q92777;P17600;P20336;O14994;O95153;O14810;O75334;Q13136;O75335;P21579;Q05940;O15245;O15244;P21397;O75915;Q96QD8;O94925;P43003;P43005;P48664;O00341;P43004;Q9UI32;Q9P2U7;O14910;Q9NUP9;O14936;Q02410;Q9HAP6;Q9GZV3;P28329;Q16572;Q9H598;Q05329;Q99259;Q9H3Z4;P11142;Q9NSD5;P48066;P30531;P48065;P51649;P80404	Neuronal System	Neurotransmitter release cycle	R-HSA-112315
R-HSA-112311	O15245;O15244;P06276;P22303;Q01959;Q8WZ04;P21964;P21397;P31645;P05091	Neuronal System	Neurotransmitter clearance	R-HSA-112315
R-HSA-112313	Q9H2H9;P43003;P43004;P15104	Neuronal System	Neurotransmitter uptake and metabolism In glial cells	R-HSA-112315
R-HSA-112314	Q8WXA8;O95264;P46098;Q70Z44;P23416;P23415;P48167;A5X5Y0;Q8NFP9;O75311;P17787;P43681;Q04844;P30926;P32297;P07510;Q07001;P02708;Q15822;Q15825;Q05901;P30532;Q9UGM1;P36544;P42263;P42261;P48058;P42262;Q13557;O60359;Q9UBN1;Q8WXS5;P24588;Q9Y698;Q12959;Q13555;Q9H4G0;P78352;Q9UQM7;Q00987;Q13554;Q9UM54;P05771;P41732;P46459;Q9NRD5;O95782;Q9Y3R0;P17252;Q9C0E4;P05129;Q00722;Q9NQ66;Q01970;P62879;P50150;P61952;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P59768;P16520;P63218;Q9UBI6;Q9P2W3;P50151;O14610;Q13003;Q9UK08;P39086;Q13002;P61601;Q92796;Q16099;P0DP23;Q16478;Q13224;Q05586;Q12879;P35609;Q15700;Q96NW7;P07196;O15399;Q14957;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q8TCU5;Q9P2E2;O14910;Q9H853;Q6PEY2;Q9NUP9;Q9NY65;Q9BVA1;Q9BUF5;O14936;Q02410;Q9HAP6;O60391;Q13509;P68363;Q3ZCM7;P68371;Q8WY54;Q14012;P49593;Q16566;P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P13861;P31323;P22694;Q96RR4;Q8N5S9;P52292;P63000;Q9Y2X7;O43741;Q13131;Q9UGJ0;Q9Y478;Q9UGI9;P54619;P54646;P12931;Q15303;Q02297;Q92686;Q9UK32;Q15418;P51812;Q15349;P01111;P01116;P01112;O14827;Q13972;O15530;P27361;P28482;Q16445;P47869;P48169;P18505;P47870;P24046;P31644;O43307;P28476;P28472;P18507;Q99928;P14867;Q9Y639;P34903;A8MPY1;Q9UN88;O75899;Q9UBS5;O43306;P08754;O60266;O60503;Q8NFM4;O95622;P51828;Q08462;P04899;A8MTJ3;P63096;P38405;Q9NPI9;P48051;P63252;Q99712;P78508;Q92806;P48549;P48050;Q14500;P48544	Neuronal System	Neurotransmitter receptors and postsynaptic signal transmission	R-HSA-112315
